ID,Date House was Sold,Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,Waterfront View,No of Times Visited,Condition of the House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Renovated Year,Zipcode,Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft)
7129300520,14 October 2017,221900.0,3,1.0,1180.0,5650.0,1.0,No,None,Fair,7,1180.0,0,63,0,98178.0,47.5112,-122.257,1340.0,5650
6414100192,14 December 2017,538000.0,3,2.25,2570.0,7242.0,2.0,No,None,Fair,7,2170.0,400,67,1991,98125.0,47.721000000000004,-122.319,1690.0,7639
5631500400,15 February 2016,180000.0,2,1.0,770.0,10000.0,1.0,No,None,Fair,6,770.0,0,85,0,98028.0,47.7379,-122.23299999999999,2720.0,8062
2487200875,14 December 2017,604000.0,4,3.0,1960.0,5000.0,1.0,No,None,Excellent,7,1050.0,910,53,0,98136.0,47.5208,-122.39299999999999,1360.0,5000
1954400510,15 February 2016,510000.0,3,2.0,1680.0,8080.0,1.0,No,None,Fair,8,1680.0,0,31,0,98074.0,47.6168,-122.045,1800.0,7503
7237550310,14 May 2017,1129575.0,4,4.5,5420.0,101930.0,1.0,No,None,Fair,10,3890.0,1530,17,0,98053.0,47.6561,-122.005,4760.0,101930
1321400060,14 June 2017,257500.0,3,2.25,1715.0,6819.0,2.0,No,None,Fair,7,1715.0,0,23,0,98003.0,47.3097,-122.32700000000001,2238.0,6819
2008000270,15 January 2016,291850.0,3,1.5,1060.0,9711.0,1.0,No,None,Fair,7,1060.0,0,55,0,98198.0,47.4095,-122.315,1650.0,9711
2414600126,15 April 2016,229500.0,3,1.0,1780.0,7470.0,1.0,No,None,Fair,7,1050.0,730,58,0,98146.0,47.5123,-122.337,1780.0,8113
3793500160,15 March 2016,323000.0,3,2.5,1890.0,6560.0,2.0,No,None,Fair,7,1890.0,0,15,0,98038.0,47.3684,-122.031,2390.0,7570
1736800520,15 April 2016,662500.0,3,2.5,3560.0,9796.0,1.0,No,None,Fair,8,1860.0,1700,53,0,98007.0,47.6007,-122.145,2210.0,8925
9212900260,14 May 2017,468000.0,2,1.0,1160.0,6000.0,1.0,No,None,Good,7,860.0,300,76,0,98115.0,47.69,-122.292,1330.0,6000
114101516,14 May 2017,310000.0,3,1.0,1430.0,19901.0,1.5,No,None,Good,7,1430.0,0,91,0,98028.0,47.7558,-122.229,1780.0,12697
6054650070,14 October 2017,400000.0,3,1.75,1370.0,9680.0,1.0,No,None,Good,7,1370.0,0,41,0,98074.0,47.6127,-122.045,1370.0,10208
1175000570,15 March 2016,530000.0,5,2.0,1810.0,4850.0,1.5,No,None,Fair,7,1810.0,0,118,0,98107.0,47.67,-122.39399999999999,1360.0,4850
9297300055,15 January 2016,650000.0,4,3.0,2950.0,5000.0,2.0,No,Thrice,Fair,9,1980.0,970,39,0,98126.0,47.5714,-122.375,2140.0,4000
1875500060,14 July 2017,395000.0,3,2.0,1890.0,14040.0,2.0,No,None,Fair,7,1890.0,0,24,0,98019.0,47.7277,-121.962,1890.0,14018
6865200140,14 May 2017,485000.0,4,1.0,1600.0,4300.0,1.5,No,None,Good,7,1600.0,0,102,0,98103.0,47.6648,-122.34299999999999,1610.0,4300
16000397,14 December 2017,189000.0,2,1.0,1200.0,9850.0,1.0,No,None,Good,7,1200.0,0,97,0,98002.0,47.3089,-122.21,1060.0,5095
7983200060,15 April 2016,230000.0,3,1.0,1250.0,9774.0,1.0,No,None,Good,7,1250.0,0,49,0,98003.0,47.3343,-122.306,1280.0,8850
6300500875,14 May 2017,385000.0,4,1.75,1620.0,4980.0,1.0,No,None,Good,7,860.0,760,71,0,98133.0,47.7025,-122.34100000000001,1400.0,4980
2524049179,14 August 2017,1129575.0,3,2.75,3050.0,44867.0,1.0,No,Four,Fair,9,2330.0,720,50,0,98040.0,47.5316,-122.23299999999999,4110.0,20336
7137970340,14 July 2017,285000.0,5,2.5,2270.0,6300.0,2.0,No,None,Fair,8,2270.0,0,23,0,98092.0,47.3266,-122.169,2240.0,7005
8091400200,14 May 2017,252700.0,2,1.5,1070.0,9643.0,1.0,No,None,Fair,7,1070.0,0,33,0,98030.0,47.3533,-122.166,1220.0,8386
3814700200,14 November 2017,329000.0,3,2.25,2450.0,6500.0,2.0,No,None,Good,8,2450.0,0,33,0,98030.0,47.3739,-122.17200000000001,2200.0,6865
1202000200,14 November 2017,233000.0,3,2.0,1710.0,4697.0,1.5,No,None,Excellent,6,1710.0,0,77,0,98002.0,47.3048,-122.21799999999999,1030.0,4705
1794500383,14 June 2017,937000.0,3,1.75,2450.0,2691.0,2.0,No,None,Fair,8,1750.0,700,103,0,98119.0,47.6386,-122.36,1760.0,3573
3303700376,14 December 2017,667000.0,3,1.0,1400.0,1581.0,1.5,No,None,Excellent,8,1400.0,0,109,0,98112.0,47.6221,-122.314,1860.0,3861
5101402488,14 June 2017,438000.0,3,1.75,1520.0,6380.0,1.0,No,None,Fair,7,790.0,730,70,0,98115.0,47.695,-122.304,1520.0,6235
1873100390,15 March 2016,719000.0,4,2.5,2570.0,7173.0,2.0,No,None,Fair,8,2570.0,0,13,0,98052.0,47.7073,-122.11,2630.0,6026
8562750320,14 November 2017,580500.0,3,2.5,2320.0,3980.0,2.0,No,None,Fair,8,2320.0,0,15,0,98027.0,47.5391,-122.07,2580.0,3980
2426039314,14 December 2017,280000.0,2,1.5,1190.0,1265.0,3.0,No,None,Fair,7,1190.0,0,13,0,98133.0,47.7274,-122.35700000000001,1390.0,1756
461000390,14 June 2017,687500.0,4,1.75,2330.0,5000.0,1.5,No,None,Good,7,1510.0,820,89,0,98117.0,47.6823,-122.368,1460.0,5000
7589200193,14 November 2017,535000.0,3,1.0,1090.0,3000.0,1.5,No,None,Good,8,1090.0,0,89,0,98117.0,47.6889,-122.375,1570.0,5080
