Sale_Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,No of Times Visited,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Years Since Renovation,Condition_of_the_House_Excellent,Condition_of_the_House_Fair,Condition_of_the_House_Good,Condition_of_the_House_Okay,Ever_Renovated_Yes,Waterfront_View_Yes,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9
221900.0,3,1.0,1180.0,5650.0,1.0,0,7,1180.0,0,63,47.5112,-122.257,1340.0,5650,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
538000.0,3,2.25,2570.0,7242.0,2.0,0,7,2170.0,400,67,47.721,-122.319,1690.0,7639,26,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
180000.0,2,1.0,770.0,10000.0,1.0,0,6,770.0,0,85,47.7379,-122.233,2720.0,8062,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
604000.0,4,3.0,1960.0,5000.0,1.0,0,7,1050.0,910,53,47.5208,-122.393,1360.0,5000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
510000.0,3,2.0,1680.0,8080.0,1.0,0,8,1680.0,0,31,47.6168,-122.045,1800.0,7503,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1129575.0,4,4.5,5420.0,101930.0,1.0,0,10,3890.0,1530,17,47.6561,-122.005,4760.0,101930,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
257500.0,3,2.25,1715.0,6819.0,2.0,0,7,1715.0,0,23,47.3097,-122.327,2238.0,6819,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291850.0,3,1.5,1060.0,9711.0,1.0,0,7,1060.0,0,55,47.4095,-122.315,1650.0,9711,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229500.0,3,1.0,1780.0,7470.0,1.0,0,7,1050.0,730,58,47.5123,-122.337,1780.0,8113,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
323000.0,3,2.5,1890.0,6560.0,2.0,0,7,1890.0,0,15,47.3684,-122.031,2390.0,7570,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
662500.0,3,2.5,3560.0,9796.0,1.0,0,8,1860.0,1700,53,47.6007,-122.145,2210.0,8925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
468000.0,2,1.0,1160.0,6000.0,1.0,0,7,860.0,300,76,47.69,-122.292,1330.0,6000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
310000.0,3,1.0,1430.0,19901.0,1.5,0,7,1430.0,0,91,47.7558,-122.229,1780.0,12697,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
400000.0,3,1.75,1370.0,9680.0,1.0,0,7,1370.0,0,41,47.6127,-122.045,1370.0,10208,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
530000.0,5,2.0,1810.0,4850.0,1.5,0,7,1810.0,0,118,47.67,-122.394,1360.0,4850,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
650000.0,4,3.0,2950.0,5000.0,2.0,3,9,1980.0,970,39,47.5714,-122.375,2140.0,4000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
395000.0,3,2.0,1890.0,14040.0,2.0,0,7,1890.0,0,24,47.7277,-121.962,1890.0,14018,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
485000.0,4,1.0,1600.0,4300.0,1.5,0,7,1600.0,0,102,47.6648,-122.343,1610.0,4300,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
189000.0,2,1.0,1200.0,9850.0,1.0,0,7,1200.0,0,97,47.3089,-122.21,1060.0,5095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230000.0,3,1.0,1250.0,9774.0,1.0,0,7,1250.0,0,49,47.3343,-122.306,1280.0,8850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
385000.0,4,1.75,1620.0,4980.0,1.0,0,7,860.0,760,71,47.7025,-122.341,1400.0,4980,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1129575.0,3,2.75,3050.0,44867.0,1.0,4,9,2330.0,720,50,47.5316,-122.233,4110.0,20336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
285000.0,5,2.5,2270.0,6300.0,2.0,0,8,2270.0,0,23,47.3266,-122.169,2240.0,7005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
252700.0,2,1.5,1070.0,9643.0,1.0,0,7,1070.0,0,33,47.3533,-122.166,1220.0,8386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
329000.0,3,2.25,2450.0,6500.0,2.0,0,8,2450.0,0,33,47.3739,-122.172,2200.0,6865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233000.0,3,2.0,1710.0,4697.0,1.5,0,6,1710.0,0,77,47.3048,-122.218,1030.0,4705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937000.0,3,1.75,2450.0,2691.0,2.0,0,8,1750.0,700,103,47.6386,-122.36,1760.0,3573,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
667000.0,3,1.0,1400.0,1581.0,1.5,0,8,1400.0,0,109,47.6221,-122.314,1860.0,3861,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
438000.0,3,1.75,1520.0,6380.0,1.0,0,7,790.0,730,70,47.695,-122.304,1520.0,6235,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
719000.0,4,2.5,2570.0,7173.0,2.0,0,8,2570.0,0,13,47.7073,-122.11,2630.0,6026,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
580500.0,3,2.5,2320.0,3980.0,2.0,0,8,2320.0,0,15,47.5391,-122.07,2580.0,3980,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
